#: table_doi: 10.17182/hepdata.77265.v2/t1
#: name: Table 1
#: description: The number of events as a function of the dijet invariant mass, compared to background prediction from fit and corresponding uncertainties, in the region defined by |y*|<0.6
#: data_file: HEPData_Resonant.yaml
#: keyword reactions: P P --> jj + X
#: keyword cmenergies: 13000.0
#: keyword phrases: Dijet Spectrum | Dijet Search | Resonance Search
#: RE,,,P P --> jj + X
#: SQRT(S) [GEV],,,13000
'm_{jj} [TEV]','m_{jj} [TEV] LOW','m_{jj} [TEV] HIGH','Data [ Events/Bin ]'
1.1165,1.1,1.133,1070590.0
1.1495,1.133,1.166,898927.0
1.1829999999999998,1.166,1.2,779364.0
1.217,1.2,1.234,653961.0
1.2515,1.234,1.269,569426.0
1.287,1.269,1.305,493057.0
1.323,1.305,1.341,417306.0
1.3595,1.341,1.378,363412.0
1.3969999999999998,1.378,1.416,314698.0
1.435,1.416,1.454,266642.0
1.4735,1.454,1.493,231481.0
1.513,1.493,1.533,201289.0
1.553,1.533,1.573,170924.0
1.5935000000000001,1.573,1.614,148654.0
1.635,1.614,1.656,129794.0
1.677,1.656,1.698,110272.0
1.7195,1.698,1.741,95134.0
1.763,1.741,1.785,83428.0
1.8075,1.785,1.83,72674.0
1.8525,1.83,1.875,61630.0
1.8980000000000001,1.875,1.921,53480.0
1.9445000000000001,1.921,1.968,46728.0
1.992,1.968,2.016,40767.0
2.0404999999999998,2.016,2.065,35255.0
2.0895,2.065,2.114,30215.0
2.1390000000000002,2.114,2.164,26040.0
2.1895,2.164,2.215,22641.0
2.2409999999999997,2.215,2.267,19701.0
2.2935,2.267,2.32,17251.0
2.347,2.32,2.374,14971.0
2.4015,2.374,2.429,12893.0
2.457,2.429,2.485,11106.0
2.5134999999999996,2.485,2.542,9783.0
2.5709999999999997,2.542,2.6,8400.0
2.6295,2.6,2.659,7223.0
2.689,2.659,2.719,6292.0
2.7495,2.719,2.78,5365.0
2.811,2.78,2.842,4667.0
2.8735,2.842,2.905,3898.0
2.937,2.905,2.969,3520.0
3.0015,2.969,3.034,3041.0
3.067,3.034,3.1,2574.0
3.1334999999999997,3.1,3.167,2226.0
3.2009999999999996,3.167,3.235,1850.0
3.27,3.235,3.305,1626.0
3.3405,3.305,3.376,1342.0
3.412,3.376,3.448,1209.0
3.4844999999999997,3.448,3.521,1008.0
3.5585,3.521,3.596,901.0
3.6340000000000003,3.596,3.672,789.0
3.7105,3.672,3.749,611.0
3.7880000000000003,3.749,3.827,529.0
3.867,3.827,3.907,471.0
3.9475,3.907,3.988,372.0
4.029,3.988,4.07,331.0
4.112,4.07,4.154,277.0
4.1965,4.154,4.239,229.0
4.2825,4.239,4.326,183.0
4.369999999999999,4.326,4.414,185.0
4.459,4.414,4.504,159.0
4.5495,4.504,4.595,132.0
4.6415,4.595,4.688,95.0
4.734999999999999,4.688,4.782,71.0
4.83,4.782,4.878,61.0
4.9265,4.878,4.975,55.0
5.0245,4.975,5.074,49.0
5.124499999999999,5.074,5.175,30.0
5.226,5.175,5.277,34.0
5.329000000000001,5.277,5.381,27.0
5.434,5.381,5.487,25.0
5.541,5.487,5.595,19.0
5.65,5.595,5.705,11.0
5.761,5.705,5.817,11.0
5.8740000000000006,5.817,5.931,8.0
5.989,5.931,6.047,10.0
6.106,6.047,6.165,6.0
6.225,6.165,6.285,5.0
6.346,6.285,6.407,2.0
6.468999999999999,6.407,6.531,4.0
6.5945,6.531,6.658,1.0
6.7225,6.658,6.787,1.0
6.8525,6.787,6.918,1.0
6.984999999999999,6.918,7.052,2.0
7.119999999999999,7.052,7.188,1.0
7.257,7.188,7.326,0.0
7.3965,7.326,7.467,0.0
7.5385,7.467,7.61,0.0
7.683,7.61,7.756,0.0
7.83,7.756,7.904,0.0
7.9795,7.904,8.055,1.0
8.131499999999999,8.055,8.208,1.0
8.286000000000001,8.208,8.364,0.0

#: RE,,,P P --> jj + X
#: SQRT(S) [GEV],,,13000
'm_{jj} [TEV]','m_{jj} [TEV] LOW','m_{jj} [TEV] HIGH',' Background fit  [ Events/Bin ]','sys,fit function +','sys,fit function -','sys,fit parameters +','sys,fit parameters -'
1.1165,1.1,1.133,1070121.4749,-25.7596895746,-25.7596895746,457.844337897,-457.844337897
1.1495,1.133,1.166,898445.209556,-3.15854365937,-3.15854365937,330.1501654,-330.1501654
1.1829999999999998,1.166,1.2,778562.028932,-7.57441392785,-7.57441392785,259.606350724,-259.606350724
1.217,1.2,1.234,655856.43481,-11.3798916596,-11.3798916596,235.407268304,-235.407268304
1.2515,1.234,1.269,569708.550276,-8.6970171791,-8.6970171791,221.919222527,-221.919222527
1.287,1.269,1.305,494020.704262,-11.8783979958,-11.8783979958,205.086826452,-205.086826452
1.323,1.305,1.341,417172.996155,-5.62269900407,-5.62269900407,193.206225729,-193.206225729
1.3595,1.341,1.378,362643.294991,-4.00420143362,-4.00420143362,178.872282657,-178.872282657
1.3969999999999998,1.378,1.416,314763.77797,-4.76378748962,-4.76378748962,159.247101235,-159.247101235
1.435,1.416,1.454,266373.920754,-2.88337103871,-2.88337103871,144.557447663,-144.557447663
1.4735,1.454,1.493,231711.059514,-0.145699201268,-0.145699201268,130.035025823,-130.035025823
1.513,1.493,1.533,201301.470598,-1.84465506457,-1.84465506457,113.843363482,-113.843363482
1.553,1.533,1.573,170747.861193,-3.21291165566,-3.21291165566,102.182868951,-102.182868951
1.5935000000000001,1.573,1.614,148655.385678,-5.35656988077,-5.35656988077,90.9735033529,-90.9735033529
1.635,1.614,1.656,129268.893717,-6.46205297793,-6.46205297793,79.3426145553,-79.3426145553
1.677,1.656,1.698,109876.989636,-6.57038709446,-6.57038709446,70.9750628399,-70.9750628399
1.7195,1.698,1.741,95747.7644932,-7.51514963504,-7.51514963504,63.6182654288,-63.6182654288
1.763,1.741,1.785,83339.2336835,-8.34019697594,-8.34019697594,57.1873827907,-57.1873827907
1.8075,1.785,1.83,72462.6711567,-8.85513023754,-8.85513023754,50.6006388366,-50.6006388366
1.8525,1.83,1.875,61672.8686465,-9.74144695517,-9.74144695517,45.9727088007,-45.9727088007
1.8980000000000001,1.875,1.921,53733.6491951,-10.388560283,-10.388560283,41.9473496651,-41.9473496651
1.9445000000000001,1.921,1.968,46771.3306048,-9.65984537121,-9.65984537121,38.6010218762,-38.6010218762
1.992,1.968,2.016,40669.5253275,8.48705959729,8.48705959729,35.4833514907,-35.4833514907
2.0404999999999998,2.016,2.065,35333.4222096,7.68833148563,7.68833148563,32.099156488,-32.099156488
2.0895,2.065,2.114,30098.7797938,-6.98278927652,-6.98278927652,29.8295005573,-29.8295005573
2.1390000000000002,2.114,2.164,26194.7727195,-6.42838657759,-6.42838657759,27.8547142054,-27.8547142054
2.1895,2.164,2.215,22770.681748,-6.07072657032,-6.07072657032,25.9856075905,-25.9856075905
2.2409999999999997,2.215,2.267,19783.6761423,-5.45165168938,-5.45165168938,23.9979489761,-23.9979489761
2.2935,2.267,2.32,17171.3247581,-5.0770086634,-5.0770086634,22.5836979677,-22.5836979677
2.347,2.32,2.374,14895.5174062,-4.64886582167,-4.64886582167,21.1604952765,-21.1604952765
2.4015,2.374,2.429,12914.2799158,-4.07153676668,-4.07153676668,19.712558053,-19.712558053
2.457,2.429,2.485,11180.8268303,-3.51495009215,-3.51495009215,18.4381078693,-18.4381078693
2.5134999999999996,2.485,2.542,9673.60497641,3.32845659826,3.32845659826,17.1911128387,-17.1911128387
2.5709999999999997,2.542,2.6,8364.79661983,3.1323774992,3.1323774992,15.8903466074,-15.8903466074
2.6295,2.6,2.659,7225.42038226,3.17493127131,3.17493127131,14.7041228817,-14.7041228817
2.689,2.659,2.719,6238.70040266,3.15755180625,3.15755180625,13.5678807449,-13.5678807449
2.7495,2.719,2.78,5382.81762512,-3.28167876361,-3.28167876361,12.6998348964,-12.6998348964
2.811,2.78,2.842,4640.65346857,-3.35433628756,-3.35433628756,11.7549891967,-11.7549891967
2.8735,2.842,2.905,3996.13846612,-3.25497165474,-3.25497165474,10.9790133079,-10.9790133079
2.937,2.905,2.969,3442.78211968,-2.94283455584,-2.94283455584,10.2862569699,-10.2862569699
3.0015,2.969,3.034,2964.39573018,-2.69402048251,-2.69402048251,9.59266833571,-9.59266833571
3.067,3.034,3.1,2550.8928433,-2.49393238848,-2.49393238848,8.90991317481,-8.90991317481
3.1334999999999997,3.1,3.167,2191.60711648,-2.28862296994,-2.28862296994,8.26636734649,-8.26636734649
3.2009999999999996,3.167,3.235,1880.48512499,-2.00848159125,-2.00848159125,7.72256232987,-7.72256232987
3.27,3.235,3.305,1633.9097168,-1.75717518058,-1.75717518058,7.22120893935,-7.22120893935
3.3405,3.305,3.376,1396.59157053,-1.47868242777,-1.47868242777,6.67492189871,-6.67492189871
3.412,3.376,3.448,1192.98481752,-1.43011052695,-1.43011052695,6.1487099125,-6.1487099125
3.4844999999999997,3.448,3.521,1017.28698006,-1.33521431033,-1.33521431033,5.75790578659,-5.75790578659
3.5585,3.521,3.596,878.525899849,-1.2678905858,-1.2678905858,5.31321452259,-5.31321452259
3.6340000000000003,3.596,3.672,746.574341271,-1.18155212769,-1.18155212769,4.90522633925,-4.90522633925
3.7105,3.672,3.749,634.348360798,-1.0528067696,-1.0528067696,4.51318649945,-4.51318649945
3.7880000000000003,3.749,3.827,538.540540087,-0.93672040196,-0.93672040196,4.20397676376,-4.20397676376
3.867,3.827,3.907,461.31628423,-0.778520103872,-0.778520103872,3.87439365265,-3.87439365265
3.9475,3.907,3.988,389.468700444,-0.621268059099,-0.621268059099,3.56663614196,-3.56663614196
4.029,3.988,4.07,328.420412633,-0.484587152064,-0.484587152064,3.32635442441,-3.32635442441
4.112,4.07,4.154,279.999593265,0.362858634323,0.362858634323,3.05819578019,-3.05819578019
4.1965,4.154,4.239,235.224696796,0.208566714387,0.208566714387,2.85799462207,-2.85799462207
